physical_quantity,power,breakpoints
type,active,
2011-05-12 00:00:00-04:00,10.333334,0
2011-05-12 00:00:10-04:00,10.0,0
2011-05-12 00:00:20-04:00,11.0,0
2011-05-12 00:00:30-04:00,11.0,0
2011-05-12 00:00:40-04:00,10.666666,0
2011-05-12 00:00:50-04:00,11.0,0
2011-05-12 00:01:00-04:00,11.0,0
2011-05-12 00:01:10-04:00,10.0,0
2011-05-12 00:01:20-04:00,11.0,0
2011-05-12 00:01:30-04:00,10.666666,0
2011-05-12 00:01:40-04:00,10.0,0
2011-05-12 00:01:50-04:00,10.666666,0
2011-05-12 00:02:00-04:00,10.666666,0
2011-05-12 00:02:10-04:00,11.0,0
2011-05-12 00:02:20-04:00,11.0,0
2011-05-12 00:02:30-04:00,10.666666,0
2011-05-12 00:02:40-04:00,10.666666,0
2011-05-12 00:02:50-04:00,11.0,0
2011-05-12 00:03:00-04:00,10.333334,0
2011-05-12 00:03:10-04:00,11.0,0
2011-05-12 00:03:20-04:00,11.0,0
2011-05-12 00:03:30-04:00,10.333334,0
2011-05-12 00:03:40-04:00,11.0,0
2011-05-12 00:03:50-04:00,11.0,0
2011-05-12 00:04:00-04:00,11.0,0
2011-05-12 00:04:10-04:00,11.0,0
2011-05-12 00:04:20-04:00,10.333334,0
2011-05-12 00:04:30-04:00,11.0,0
2011-05-12 00:04:40-04:00,10.666666,0
2011-05-12 00:04:50-04:00,11.0,0
2011-05-12 00:05:00-04:00,10.666666,0
2011-05-12 00:05:10-04:00,11.0,0
2011-05-12 00:05:20-04:00,10.666666,0
2011-05-12 00:05:30-04:00,10.333334,0
2011-05-12 00:05:40-04:00,10.666666,0
2011-05-12 00:05:50-04:00,10.333334,0
2011-05-12 00:06:00-04:00,11.0,0
2011-05-12 00:06:10-04:00,11.0,0
2011-05-12 00:06:20-04:00,10.333334,0
2011-05-12 00:06:30-04:00,10.333334,0
2011-05-12 00:06:40-04:00,10.666666,0
2011-05-12 00:06:50-04:00,10.333334,0
2011-05-12 00:07:00-04:00,10.666666,0
2011-05-12 00:07:10-04:00,11.0,0
2011-05-12 00:07:20-04:00,10.333334,0
2011-05-12 00:07:30-04:00,10.666667,0
2011-05-12 00:07:40-04:00,10.666666,0
2011-05-12 00:07:50-04:00,10.0,0
2011-05-12 00:08:00-04:00,11.0,0
2011-05-12 00:08:10-04:00,11.0,0
